category,main_category,currency,goal,launched,pledged,state,backers,country,usd pledged,ád
0.46360044557175345,2.0185154846829296,0.0,-0.7264831572567788,0.31415149493899425,-1.056117709057383,2.265637301652552,0.1360827634879544,2.9343867087342326,-2.121320343559643,2.777618673013792
-1.6612349299654499,0.8183170883849715,0.0,-1.5676741814488386,-0.7177489016314521,-0.6555213366563067,1.0805544447451318,1.632993161855452,0.4679420665091135,0.47140452079103157,0.6194771216012197
-0.38633370464312794,1.4184162865339505,0.0,-0.30588764516074896,-0.7897419525549717,0.14567140814584598,-0.40079912638914383,0.1360827634879544,-0.06824155136591242,0.47140452079103157,-0.39966694828371724
-1.2362678548580093,-0.9819805060619659,0.0,0.11470786693528097,-0.8857326871196644,-0.25492496425523037,1.0805544447451318,1.632993161855452,-0.1754782749409176,0.47140452079103157,0.6194771216012197
0.038633370464312755,-0.9819805060619659,0.0,0.9558988911273407,-1.0537164726078765,0.9468641529479986,-0.9768810707191399,-1.3608276348795436,-0.8188986163909487,-2.121320343559643,-0.7756574922802553
1.313534595786635,-0.9819805060619659,0.0,0.5353033790313109,0.5541283313507259,0.5462677805469224,-1.023908168215466,-1.3608276348795436,-0.8188986163909487,0.47140452079103157,-0.8283545332353177
0.8885675206791941,-0.3818813079129868,0.0,1.3764944032233706,1.7540125134093845,1.347460525349075,-0.38198828739061336,0.1360827634879544,-0.1754782749409176,0.47140452079103157,-0.38672543628517836
-0.8113007797505686,0.21821789023599233,0.0,-1.1470786693528088,-0.7417465852726253,-1.4567140814584594,-0.11863654141118654,0.1360827634879544,-0.1754782749409176,0.47140452079103157,-0.20554426830563402
1.313534595786635,-0.9819805060619659,0.0,0.5353033790313109,0.5541283313507259,0.5462677805469224,-1.023908168215466,-1.3608276348795436,-0.8188986163909487,0.47140452079103157,-0.8283545332353177
0.8885675206791941,-0.3818813079129868,0.0,1.3764944032233706,1.7540125134093845,1.347460525349075,-0.38198828739061336,0.1360827634879544,-0.1754782749409176,0.47140452079103157,-0.38672543628517836
-0.8113007797505686,0.21821789023599233,0.0,-1.1470786693528088,-0.7417465852726253,-1.4567140814584594,-0.11863654141118654,0.1360827634879544,-0.1754782749409176,0.47140452079103157,-0.20554426830563402
