category,main_category,deadline,goal,launched,pledged,state,backers,country,usd pledged
-1.5210354146421117,-1.1332194852867032,1.5597124745724904,0.17541918885006103,1.3286439598210102,-0.2192413582832507,-0.5191220960013097,-1.4025354558035883,0.0,-1.3939397251006733
-1.8044581627120704,0.5251504931816431,0.6354384155665701,-0.39262869850599397,0.5199041581908301,-0.20209360342116162,0.8966654385477165,-0.58689710610415,0.0,-1.0217889235006112
-1.0959012925371736,-1.4096144816980942,0.9820411876937902,-0.44499464309450026,0.8665069303180502,-0.22954387108319466,0.8966654385477165,-1.5167248247615097,0.0,-1.6175310014998125
-1.237612666572153,1.0779404860044253,-1.6752467319482305,-0.27467339949216835,-0.4043699008150901,-0.14357178874745902,0.8966654385477165,0.24505401058927714,0.0,0.2482863963920477
-0.9541899185021943,1.3543354824158162,0.05776712868787001,-0.4221175232594504,-0.17330138606361004,-0.22974406938872421,-0.5191220960013097,-1.5493503587494872,0.0,-1.6218758245090634
-1.662746788677091,-1.4096144816980942,-1.4441782171967503,-0.38331643805753407,1.5597124745724904,-0.19902132942476575,0.8966654385477165,-1.2883460868456669,0.0,-0.9551126011663388
-1.3793240406071323,1.0779404860044253,1.3286439598210102,-0.4314297837079103,1.2131097024452704,-0.21804016845007337,0.8966654385477165,-1.2883460868456669,0.0,-1.3678707870451683
1.454903440092455,-0.30403449605253,-0.8665069303180502,-0.07290775644220346,-0.7509726729423102,-0.1903820025476827,-1.934909630550336,-1.1143432388554109,0.0,-1.0609480335543675
-0.5290557963972562,-0.5804294924639211,0.2888356434393501,-0.43763795734021693,0.05776712868787001,-0.22980566886734868,-0.5191220960013097,-0.9838411029035008,0.0,-0.9339455148224199
0.32121244781262,-0.5804294924639211,0.8665069303180502,-0.41435730621906713,0.7509726729423102,-0.2298210687370048,-0.5191220960013097,-0.8533389669515906,0.0,-0.8069429960904724
0.03778969974266128,-1.4096144816980942,-0.7509726729423102,0.33062352965772634,-0.6354384155665701,0.21914673121750372,0.8966654385477165,-0.7228368309996805,0.0,-0.6799404773585248
0.8880579439525375,-0.8568244888753122,1.2131097024452704,-0.32123470173446794,0.9820411876937902,-0.22928207329904063,-0.5191220960013097,-0.5923346950477704,0.0,-0.5529379586265774
-0.10392167429231808,-0.30403449605253,-0.2888356434393501,-0.19707122908833571,-1.5597124745724904,-0.22968246991009972,-0.5191220960013097,-0.46183255909586024,0.0,-0.4259354398946298
0.17950107377764063,0.8015454895930342,1.0975754450695303,-0.19707122908833571,0.4043699008150901,-0.10338813886026353,0.8966654385477165,-0.3313304231439501,0.0,-0.2989329211626822
-0.6707671704322355,-0.027639499641139004,1.6752467319482305,-0.43608591393214025,1.4441782171967503,-0.22817543866555187,-0.5191220960013097,-0.20082828719203996,0.0,-0.17193040243073482
0.46292382184759934,-0.30403449605253,-0.6354384155665701,-0.41435730621906713,-0.9820411876937902,-0.21415940129673125,0.8966654385477165,-0.07032615124012984,0.0,-0.04492788369878729
-0.24563304832729743,-0.30403449605253,-0.17330138606361004,-0.0418668882806704,-1.6752467319482305,-0.22150513912270026,-0.5191220960013097,0.0601759847117803,0.0,0.08207463503316026
-0.8124785444672149,-0.30403449605253,-1.3286439598210102,2.9690973233880364,-0.8665069303180502,-0.11920380499709828,-0.5191220960013097,0.19067812115307337,0.0,0.2090771537651078
0.8880579439525375,-0.8568244888753122,-0.5199041581908301,-0.42366956666752703,-1.4441782171967503,-0.21328160872633245,0.8966654385477165,0.3211802571049835,0.0,0.33607967249705534
1.171480692022496,-0.30403449605253,-1.0975754450695303,-0.41435730621906713,-1.0975754450695303,-0.2298210687370048,-0.5191220960013097,0.45168239305689367,0.0,0.4630821912290029
1.3131920660574756,1.9071254752385982,-1.2131097024452704,0.7962365520807222,-1.2131097024452704,5.364984841049674,-1.934909630550336,0.582184529008804,0.0,0.5900847099609504
1.5966148141274343,0.24875549677025205,0.7509726729423102,-0.38331643805753407,0.6354384155665701,-0.1389464378962435,0.8966654385477165,0.7126866649607142,0.0,0.717087228692898
1.5966148141274343,0.24875549677025205,0.17330138606361004,4.148650313526293,-0.05776712868787001,-0.15679488682768603,-0.5191220960013097,0.8431888009126243,0.0,0.8440897474248455
-0.3873444223622768,1.9071254752385982,1.4441782171967503,-0.42987774029983367,1.0975754450695303,-0.2297594692583803,-0.5191220960013097,0.9736909368645345,0.0,0.971092266156793
0.6046351958825787,1.6307304788272072,-1.5597124745724904,-0.1349894927652696,-0.5199041581908301,-0.22974406938872421,-1.934909630550336,1.1041930728164446,0.0,1.0980947848887406
0.46292382184759934,-0.30403449605253,0.5199041581908301,-0.19707122908833571,0.2888356434393501,-0.06744484308288057,0.8966654385477165,1.2346952087683547,0.0,1.2250973036206885
-0.24563304832729743,-0.30403449605253,0.4043699008150901,-0.3988368721383006,0.17330138606361004,-0.2298210687370048,-0.5191220960013097,1.3651973447202648,0.0,1.352099822352636
-0.10392167429231808,-0.30403449605253,-0.9820411876937902,-0.352275569896001,1.6752467319482305,-0.2298210687370048,2.3124529730967427,1.495699480672175,0.0,1.4791023410845836
0.7463465699175581,-1.4096144816980942,-0.4043699008150901,-0.42366956666752703,-1.3286439598210102,-0.22928207329904063,-0.5191220960013097,1.6262016166240851,0.0,1.606104859816531
1.0297693179875167,1.6307304788272072,-0.05776712868787001,-0.38021235124138075,-0.2888356434393501,-0.19275358247472513,0.8966654385477165,1.7567037525759952,0.0,1.7331073775458268
